School,Author,Title,Dynasty,Content,School_e,Author_e,Title_e,Content_e
山水田园,王维,戏题盘石,唐,可怜盘石临泉水，复有垂杨拂酒杯。若道春风不解意，何因吹送落花来。,Landscape and pastoral,Wang Wei,drama theme plate stone,"The poor rock is near the spring water, and there is a hanging willow brushing the wine cup. If you don't understand the spring breeze, why is it blowing the fallen flowers."
山水田园,王维,戏题辋川别业,唐,柳条拂地不须折，松树披云从更长。藤花欲暗藏猱子，柏叶初齐养麝香。,Landscape and pastoral,Wang Wei,Wangchuan Bieye,"The willow does not need to be broken when it brushes the ground, and the pine tree is longer than the clouds. The vine flowers want to hide the scorpions, and the cypress leaves gather together to raise musk."
山水田园,王维,杂诗三首 其一,唐,家住孟津河，门对孟津口。常有江南船，寄书家中否。,Landscape and pastoral,Wang Wei,one of three miscellaneous poems,"I live in Mengjinhe, and the door is opposite to Mengjinkou. There are often boats in the south of the Yangtze River, whether to send books to the home."
山水田园,王维,杂诗三首 其二,唐,君自故乡来，应知故乡事。来日绮窗前，寒梅着花未。,Landscape and pastoral,Wang Wei,The second of three miscellaneous poems,"You come from your hometown, you should know the things of your hometown. In front of the Qi window in the future, the plum blossoms are not yet in bloom."
山水田园,王维,杂诗三首 其三,唐,已见寒梅发，复闻啼鸟声。心心视春草，畏向阶前生。,Landscape and pastoral,Wang Wei,Three out of three miscellaneous poems,"I have seen cold plum hair, and heard the sound of birds singing again. Looking at the spring grass in my heart, I am afraid of the previous life."
山水田园,王维,红牡丹,唐,绿艳闲且静，红衣浅复深。花心愁欲断，春色岂知心。,Landscape and pastoral,Wang Wei,red peony,"The green is bright and quiet, and the red clothes are light and deep. The heart of the flower is sad, but the spring scenery does not know the heart."
山水田园,王维,齐州送祖二,唐,送君南浦泪如丝，君向东州使我悲。为报故人憔悴尽，如今不似洛阳时。,Landscape and pastoral,Wang Wei,Qizhou sends Zu Er,"Send Jun Nanpu tears like silk, Jun Xiang Dongzhou makes me sad. In order to repay the old man, I am haggard, and now it is not like Luoyang."
山水田园,王维,别辋川别业,唐,依迟动车马，惆怅出松萝。忍别青山去，其如绿水何。,Landscape and pastoral,Wang Wei,Biewangchuan Bieye,"Yichi moved the chariots and horses, melancholy came out of the pineapple. Don't bear to go to the green hills, it's like green water."
山水田园,王维,灵云池送从弟,唐,金杯缓酌清歌转，画舸轻移艳舞回。自叹鹡鸰临水别，不同鸿雁向池来。,Landscape and pastoral,Wang Wei,Lingyun pool sent to my younger brother,"The golden cup slowly drinks and sings, and the painting moves lightly and dances back. Sighing that the wagtail is farewell to the water, unlike the swan geese coming to the pool."
山水田园,王维,皇甫岳云溪杂题五首 鸟鸣涧,唐,人闲桂花落，夜静春山空。月出惊山鸟，时鸣春涧中。,Landscape and pastoral,Wang Wei,Huangfu Yue Yunxi Miscellaneous Topics Five Songs of Birds,"The sweet-scented osmanthus falls when people are idle, and the night is quiet and the spring mountains are empty. When the moon rises, the mountain birds startle, and when they sing in the spring stream."
山水田园,王维,皇甫岳云溪杂题五首 莲花坞,唐,日日采莲去，洲长多暮归。弄篙莫溅水，畏湿红莲衣。,Landscape and pastoral,Wang Wei,Huangfu Yueyunxi Miscellaneous Five Poems on Lianhuawu,"Every day I go to pick lotus, and the head of the continent returns at dusk. Don't splash the water when you are using the pole, for fear of getting wet on the red lotus clothes."
山水田园,王维,皇甫岳云溪杂题五首 萍池,唐,春池深且广，会待轻舟回。靡靡绿萍合，垂杨埽复开。,Landscape and pastoral,Wang Wei,Huangfu Yue Yunxi Miscellaneous Topic Five Poems Pingchi,"The spring pool is deep and wide, waiting for the light boat to return. The extravagant green duckweeds are closed, and the weeping poplars are reopened."
山水田园,王维,相思,唐,红豆生南国，秋来发故枝。愿君多采撷，此物最相思。,Landscape and pastoral,Wang Wei,Acacia,"Red beans grow in the southern country, and autumn comes to send out old branches. May you pick more, this thing is the most lovesick."
山水田园,王维,送王尊师归蜀中拜埽,唐,大罗天上神仙客，濯锦江头花柳春。不为碧鸡称使者，唯令白鹤报乡人。,Landscape and pastoral,Wang Wei,Sending Master Wang Zun back to Shuzhong to worship the Xun,"Daluo is a fairy guest in the sky, and Liuchun is the head flower of Zhuojin River. Don't call Biji the envoy, but let the white crane report to the villagers."
山水田园,王维,送韦评事,唐,欲逐将军取右贤，沙场走马向居延。遥知汉使萧关外，愁见孤城落日边。,Landscape and pastoral,Wang Wei,Send Wei to comment,"Wanting to chase the general and take the right sage, he went to Juyan on the battlefield. Knowing that outside Xiaoguan, the envoy of the Han Dynasty, I worry about seeing the lonely city at the sunset."
山水田园,王维,送别,唐,山中相送罢，日暮掩柴扉。春草明年绿，王孙归不归。,Landscape and pastoral,Wang Wei,farewell,"Send each other off in the mountains, and the sun will cover the firewood. The spring grass will be green next year, and the king and grandson will not return."
山水田园,王维,送沈子归江东,唐,杨柳渡头行客稀，罟师荡桨向临圻。唯有相思似春色，江南江北送君归。,Landscape and pastoral,Wang Wei,Send Shenzi back to Jiangdong,"There are few tourists at Yangliu Ferry, Master Ku rowed his oars towards Linqi. Only lovesickness is like spring scenery, Jiangnan and Jiangbei send you back."
山水田园,王维,送殷四葬,唐,送君返葬石楼山，松柏苍苍宾驭还。埋骨白云长已矣，空馀流水向人间。,Landscape and pastoral,Wang Wei,Send Yin Sibu,"Send you back to Shilou Mountain for burial, and return the pines and cypresses to the Cang Cang Bin. The white clouds buried in the bones are long gone, and the remaining water flows to the world."
山水田园,王维,凉州赛神,唐,凉州城外少行人，百尺峰头望虏尘。健儿击鼓吹羌笛，共赛城东越骑神。,Landscape and pastoral,Wang Wei,Liangzhou Saishen,"There are few pedestrians outside Liangzhou City, and the Baichi Peak looks at Luchen. Athletes beat the drums and play the Qiang flute, and they competed together in the city of Dongyue to ride the gods."
山水田园,王维,戏嘲史寰,唐,清风细雨湿梅花，骤马先过碧玉家。正值楚王宫里至，门前初下七香车。,Landscape and pastoral,Wang Wei,mock Shi Huan,"The plum blossoms are wet by the breeze and drizzle, and suddenly the horse passes Biyu's house first. Just when the King of Chu arrived at the palace, Qixiang chariot got off in front of the gate."
山水田园,王维,哭孟浩然,唐,故人不可见，汉水日东流。借问襄阳老，江山空蔡州。,Landscape and pastoral,Wang Wei,Meng Haoran,"The enemy is invisible, and the Han River is flowing eastward. May I ask the old man in Xiangyang, the country is empty in Caizhou."
山水田园,王维,息夫人,唐,莫以今时宠，能忘旧日恩。看花满眼泪，不共楚王言。,Landscape and pastoral,Wang Wei,Mrs. Xi,Don't forget the old kindness by favoring the present. Seeing the flowers full of tears does not share the words of the king of Chu.
山水田园,王维,班婕妤三首 其一,唐,玉窗萤影度，金殿人声绝。秋夜守罗帷，孤灯耿不灭。,Landscape and pastoral,Wang Wei,Ban Jieyu one of three,"The jade window is full of fireflies, and the Golden Palace is full of voices. Autumn night guarding the curtains, the lonely lamp never goes out."
山水田园,王维,班婕妤三首 其二,唐,宫殿生秋草，君王恩幸疏。那堪闻凤吹，门外度金舆。,Landscape and pastoral,Wang Wei,Ban Jieyu is the second of three,"Autumn grass grows in the palace, and the king's favor is sparse. That can hear the phoenix blowing, and the golden jade is outside the door."
山水田园,王维,班婕妤三首 其三,唐,怪来妆阁闭，朝下不相迎。总向春园里，花间笑语声。,Landscape and pastoral,Wang Wei,Ban Jieyu Three of Three,"It's strange that the make-up pavilion is closed, and the face down does not welcome each other. Always in the spring garden, there is laughter among the flowers."
山水田园,王维,崔九弟欲往南山马上口号与别,唐,城隅一分手，几日还相见。山中有桂花，莫待花如霰。,Landscape and pastoral,Wang Wei,Cui Jiudi wanted to go to Nanshan and immediately said goodbye,"Cheng Yu broke up and met again in a few days. There are sweet-scented osmanthus in the mountains, don't wait for the flowers to be like sleet."
山水田园,王维,菩提寺禁口号又示裴迪,唐,安得舍罗网，拂衣辞世喧。悠然策藜杖，归向桃花源。,Landscape and pastoral,Wang Wei,The banned slogan of Bodhi Temple also shows Pei Di,"Andersa snatched the net, brushed his clothes and passed away. Leisurely push the goosebump stick, and return to the peach blossom garden."
山水田园,王维,菩提寺禁裴迪来相看说逆贼等凝碧池上作音乐供奉人等举声便一时泪下私成口号诵示裴迪,唐,万户伤心生野烟，百僚何日更朝天。秋槐叶落空宫里，凝碧池头奏管弦。,Landscape and pastoral,Wang Wei,"The Bodhi Temple bans Pei Di from coming to see him, saying that the rebels are waiting to make music on Ningbi Pond.","Tens of thousands of households are sad and smoke wild, and when will all the bureaucrats be more up to the sky. The leaves of autumn locust trees fall into the empty palace, and Ningbichi plays the orchestra."
山水田园,王维,寒食汜上作,唐,广武城边逢暮春，汶阳归客泪沾巾。落花寂寂啼山鸟，杨柳青青渡水人。,Landscape and pastoral,Wang Wei,cold food,"In late spring at the edge of Guangwu city, returnees from Wenyang stained their towels with tears. The fallen flowers are silent and the mountain birds are singing, and the willows are green and the people crossing the water."
山水田园,王维,渭城曲,唐,渭城朝雨浥轻尘，客舍青青杨柳春。劝君更尽一杯酒，西出阳关无故人。,Landscape and pastoral,Wang Wei,Weicheng Song,"The morning rain in Weicheng is light and the dust is light, and the guest house is green and willow spring. Advise you to drink more wine, go west to Yangguan without acquaintance."
山水田园,王维,辋川集 文杏馆,唐,文杏裁为梁，香茅结为宇。不知栋里云，去作人间雨。,Landscape and pastoral,Wang Wei,Wangchuan Jiwen Xingguan,"Wen Xing was cut into Liang, and Lemongrass was married into Yu. I don't know the clouds in the building, go to make rain in the world."
山水田园,王维,辋川集 斤竹岭,唐,檀栾映空曲，青翠漾涟漪。暗入商山路，樵人不可知。,Landscape and pastoral,Wang Wei,Wangchuan Jijin Bamboo Ridge,"The sandalwood reflects the empty song, and the greenery ripples. Entering Shangshan Road secretly, the woodcutter does not know."
山水田园,王维,辋川集 木兰柴,唐,秋山敛馀照，飞鸟逐前侣。彩翠时分明，夕岚无处所。,Landscape and pastoral,Wang Wei,Wangchuan Ji Mulan Chai,"The autumn mountains collect the remaining photos, and the birds chase the former couple. It is clear when the color is emerald, and there is no place for Xi Lan."
山水田园,王维,辋川集 北垞,唐,北垞湖水北，杂树映朱阑。逶迤南川水，明灭青林端。,Landscape and pastoral,Wang Wei,Wangchuan Ji Beilong,"In the north of Beilong Lake, miscellaneous trees reflect Zhulan. The meandering Nanchuan water, bright and dark green forest end."
山水田园,王维,辋川集 竹里馆,唐,独坐幽篁里，弹琴复长啸。深林人不知，明月来相照。,Landscape and pastoral,Wang Wei,Wangchuan Jizhuli Pavilion,"Sitting alone in the secluded huang, playing the piano and whistling again. People in the deep forest don't know, but the bright moon comes to shine."
山水田园,王维,辋川集 辛夷坞,唐,木末芙蓉花，山中发红萼。涧户寂无人，纷纷开且落。,Landscape and pastoral,Wang Wei,Wangchuanji Xinyiwu,"Hibiscus flowers at the end of the tree, red calyx in the mountains. There is no one in Jianhu, and they bloom and fall one after another."
山水田园,王维,辋川集 临湖亭,唐,轻舸迎上客，悠悠湖上来。当轩对尊酒，四面芙蓉开。,Landscape and pastoral,Wang Wei,Wangchuan Collection Linhu Pavilion,"The light boat greets the guests, and the lake comes up leisurely. Dangxuan faced the wine, surrounded by hibiscus."
山水田园,王维,辋川集 南垞,唐,轻舟南垞去，北垞淼难即。隔浦望人家，遥遥不相识。,Landscape and pastoral,Wang Wei,Wangchuan Jinanlong,"Light boats go to the south, but the north is hard to reach. Looking at people across Pupu, they don't know each other far away."
山水田园,王维,辋川集 宫槐陌,唐,仄径荫宫槐，幽阴多绿苔。应门但迎埽，畏有山僧来。,Landscape and pastoral,Wang Wei,Wangchuan Jigong Huaimo,"The palace locust tree is shaded with a flat diameter, and there are many green moss in the shade. He answered the door but greeted the scorpion, fearing that a mountain monk would come."
山水田园,王维,辋川集 柳浪,唐,分行接绮树，倒影入清漪。不学御沟上，春风伤别离。,Landscape and pastoral,Wang Wei,Wangchuan Ji Liulang,"Branches are connected to Qishu, and their reflections are reflected in Qingyi. If you don't learn from Yugou, the spring breeze hurts parting."
山水田园,王维,辋川集 茱萸沜,唐,结实红且绿，复如花更开。山中傥留客，置此芙蓉杯。,Landscape and pastoral,Wang Wei,Wangchuanji Cornus officinalis,"It is firm, red and green, and blooms more like a flower. To stay in the mountains, let this hibiscus cup be placed."
山水田园,王维,辋川集 鹿柴,唐,空山不见人，但闻人语响。返景入深林，复照青苔上。,Landscape and pastoral,Wang Wei,Wangchuan Jiluchai,"There are no people in the empty mountain, but people's voices can be heard. Return to the scene into the deep forest, and shine on the moss again."
山水田园,王维,辋川集 欹湖,唐,吹箫凌极浦，日暮送夫君。湖上一回首，青山卷白云。,Landscape and pastoral,Wang Wei,Wangchuan Jiyan Lake,"Blow the flute Ling Jipu, send off your husband at dusk. Looking back on the lake, the green mountains are rolling with white clouds."
山水田园,王维,阙题二首 其一,唐,荆溪白石出，天寒红叶稀。山路元无雨，空翠湿人衣。,Landscape and pastoral,Wang Wei,Que title one of two,"White stones come out of Jingxi, and the red leaves are thin in the cold weather. There is no rain on the mountain road, and people's clothes are wet in the empty emerald green."
山水田园,王维,阙题二首 其二,唐,相看不忍发，惨淡暮潮平。语罢更携手，月明洲渚生。,Landscape and pastoral,Wang Wei,Que title two first two,"I can't bear to look at each other, and the evening tide is bleak. After speaking, let's join hands, Yuemingzhou Zhusheng."
山水田园,王维,疑梦,唐,莫惊宠辱空忧喜，莫计恩雠浪苦辛。黄帝孔丘何处问？安知不是梦中身。,Landscape and pastoral,Wang Wei,suspicious dream,"Don't be surprised, favored, humiliated, worried, and happy, and don't count on the hard work of grace and waves. Where did the Yellow Emperor Confucius ask? An Zhi is not a dream body."
山水田园,王维,题友人云母障子,唐,君家云母障，时向野庭开。自有山泉入，非因采画来。,Landscape and pastoral,Wang Wei,Mica Shoko,"The mica barrier in the Jun family opens to the wild court from time to time. It comes in from the mountain spring, not because of the painting."
山水田园,王维,赠韦穆十八,唐,与君青眼客，共有白云心。不相东山去，日令春草深。,Landscape and pastoral,Wang Wei,Give Weimu Eighteen,"I share the heart of Baiyun with Jun Qingyanke. Don't go to Dongshan, the grass is deep in spring every day."
山水田园,王维,赠裴旻将军,唐,腰间宝剑七星文，臂上雕弓百战勋。见说云中擒黠虏，始知天上有将军。,Landscape and pastoral,Wang Wei,To General Pei Min,"The seven-star inscription on the sword at the waist, and the hundreds of battle honors carved on the arm. Seeing that the sly captive was captured in the clouds, I realized that there is a general in the sky."
山水田园,王维,与卢象集朱家,唐,主人能爱客，终日有逢迎。贳得新丰酒，复闻秦女筝。柳条疏客舍，槐叶下秋城。语笑且为乐，吾将达此生。,Landscape and pastoral,Wang Wei,With Lu Xiangji Zhu Jia,"The host can love guests and cater to them all day long. I got Xinfeng wine and heard about Qin Nuzheng again. Wicker sparse guest houses, pagoda leaves go down to autumn city. Speak and laugh for joy, I will reach this life."
山水田园,王维,千塔主人,唐,逆旅逢佳节，征帆未可前。窗临汴河水，门渡楚人船。鸡犬散墟落，桑榆荫远田。所居人不见，枕席生云烟。,Landscape and pastoral,Wang Wei,Master of Thousand Towers,"It is a festive season when traveling against the road, and sailing is not yet possible. The window faces the water of the Bian River, and the door crosses Chu people's boats. Chickens and dogs are scattered in the countryside, and mulberry and elm shade the far fields. The occupant is nowhere to be seen, and clouds and smoke rise from the pillow mat."
山水田园,王维,大同殿柱产玉芝龙池上有庆云神光照殿百官共睹圣恩便赐宴乐敢书即事,唐,欲笑周文歌宴镐，遥轻汉武乐横汾。岂知玉殿生三秀，讵有铜池出五云。陌上尧樽倾北斗，楼前舜乐动南薰。共欢天意同人意，万岁千秋奉圣君。,Landscape and pastoral,Wang Wei,"The pillars of Datong Hall are produced by Yuzhi Longchi, and there is Qingyun Shenguang Hall. Hundreds of officials in the Hall of Light show the holy grace and give them a feast.","If you want to laugh at Zhou Wenge's feast pickaxe, you can lighten Han Wule's music in Hengfen. Unexpectedly, there are three beautiful women in the jade hall, and five clouds come out of the copper pool. Yao on the Moshang pours the Big Dipper, and Shun in front of the building moves Nanxun with joy. Let's rejoice together, God's will agree with everyone's will, long live the future and serve the Holy King."
山水田园,王维,山居即事,唐,寂寞掩柴扉，苍茫对落晖。鹤巢松树遍，人访荜门稀。绿竹含新粉，红莲落故衣。渡头烟火起，处处采菱归。,Landscape and pastoral,Wang Wei,live in the mountains,"Loneliness hides the fire, and the vastness faces Luohui. Crane's nests are full of pine trees, and people visit the perennial gates rarely. Green bamboo contains new powder, and red lotus sheds old clothes. Fireworks start at the ferry, and water chestnuts are picked everywhere."
山水田园,王维,山居秋暝,唐,空山新雨后，天气晚来秋。明月松间照，清泉石上流。竹喧归浣女，莲动下渔舟。随意春芳歇，王孙自可留。,Landscape and pastoral,Wang Wei,Mountain Dwelling in Autumn,"After the new rain in the empty mountains, the weather is late to autumn. The bright moon shines among the pines, and the clear spring stones flow upwards. The bamboo noise returns to Huannu, and the lotus moves off the fishing boat. Break free to Chun-fang, Sun-self to stay."
山水田园,王维,从岐王过杨氏别业应教,唐,杨子谈经所，淮王载酒过。兴阑啼鸟换，坐久落花多。径转回银烛，林开散玉珂。严城时未启，前路拥笙歌。,Landscape and pastoral,Wang Wei,From Qiwang to Yang's Bieye to teach,"Yang Zi talked about the scriptures, and King Huai had wine. Xinglan sings and birds change, sits for a long time and leaves many flowers. Turning back to the silver candle, Lin Kai scattered Yuke. Yancheng has not yet opened, and the road ahead is filled with singing and dancing."
山水田园,王维,从岐王夜宴卫家山池应教,唐,座客香貂满，宫娃绮幔张。涧花轻粉色，山月少灯光。积翠纱窗暗，飞泉绣户凉。还将歌舞出，归路莫愁长。,Landscape and pastoral,Wang Wei,Learned from King Qi's Banquet at Wei's House,"The guests are full of mink, and the palace dolls are full of curtains. The flowers in the stream are light pink, and the mountains and moons are less light. The screen window of Jicui is dark, and the embroidered household of Feiquan is cool. There will also be singing and dancing, so there is no need to worry about the long way home."
山水田园,王维,韦给事山居,唐,幽寻得此地，讵有一人曾。大壑随阶转，群山入户登。庖厨出深竹，印绶隔垂藤。即事辞轩冕，谁云病未能。,Landscape and pastoral,Wang Wei,Weiji Shi Shanju,"You found this place, and there was one person who did it. The big gully turns with the steps, and the mountains enter and climb. The kitchen produces deep bamboo, and the printing ribbon is separated by hanging vines. Immediately resign from Xuanmian, who said that the disease failed."
山水田园,王维,冬晚对雪忆胡居士家,唐,寒更传晓箭，清镜览衰颜。隔牖风惊竹，开门雪满山。洒空深巷静，积素广庭闲。借问袁安舍，翛然尚闭关。,Landscape and pastoral,Wang Wei,Reminiscing about Hu Layman's home in the winter evening,"Han Geng spreads the dawn arrow, clears the mirror to look at the decayed face. The bamboo is startled by the wind, and the mountain is covered with snow when the door is opened. Sprinkle the air and the deep alleys are quiet, and accumulate elements in the wide courtyard. If I ask Yuan Anshe, he is still in retreat."
山水田园,王维,出塞,唐,居延城外猎天骄，白草连山野火烧。暮云空碛时驱马，秋日平原好射雕。护羌校尉朝乘障，破虏将军夜渡辽。玉靶角弓珠勒马，汉家将赐霍嫖姚。,Landscape and pastoral,Wang Wei,out of fortress,"Hunting Tianjiao outside Juyan City, the white grass and mountains are burning wildly. When the clouds are empty and the moraine is empty, the horses are driven, and the autumn plain is good for shooting eagles. Protecting the Qiang school and taking advantage of the barriers, the general broke through the Liao at night. The jade target horn bow pearl rein in the horse, the Han family will give Huo whoring Yao."
山水田园,王维,归辋川作,唐,谷口疏钟动，渔樵稍欲稀。悠然远山暮，独向白云归。菱蔓弱难定，杨花轻易飞。东皋春草色，惆怅掩柴扉。,Landscape and pastoral,Wang Wei,Return to Wang Chuanzuo,"At the mouth of the valley, the clock is moving, and the fishermen and woodcutters are a little sparse. Leisurely far away from the mountains and evening, returning to the white clouds alone. The water chestnut vine is weak and difficult to fix, but the poplar flower flies easily. Dong Gaochun grass color, melancholy cover firewood."
山水田园,王维,归嵩山作,唐,清川带长薄，车马去闲闲。流水如有意，暮禽相与还。荒城临古渡，落日满秋山。迢递嵩高下，归来且闭关。,Landscape and pastoral,Wang Wei,Return to Songshan,"Qingchuan belt is long and thin, and the chariots and horses go leisurely. If the flowing water is willing, the evening bird will return it. The deserted city is near the ancient ferry, and the sunset is full of autumn mountains. Die Song up and down, return and retreat."
山水田园,王维,汉江临汎,唐,楚塞三湘接，荆门九派通。江流天地外，山色有无中。郡邑浮前浦，波澜动远空。襄阳好风日，留醉与山翁。,Landscape and pastoral,Wang Wei,Hanjiang Linfan,"Chusai and Sanxiang are connected, and Jingmen's nine schools are connected. Beyond the river flow, there is no mountain scenery. Fuqianpu, the county town, is turbulent and far away. On a sunny day in Xiangyang, stay drunk with the mountain man."
山水田园,王维,同崔兴宗送衡岳瑗公南归,唐,言从石菌阁，新下穆陵关。独向池阳去，白云留故山。绽衣秋日里，洗钵古松间。一施传心法，唯将戒定还。,Landscape and pastoral,Wang Wei,"Together with Cui Xingzong, send Duke Hengyue Yuan back to the south","Words from Shijun Pavilion, the new Muling Pass. Go alone to Chiyang, and the white clouds stay in the old mountain. Blooming clothes in autumn, washing bowls among ancient pine trees. Once you pass on the Dharma, you can only return the precepts."
山水田园,王维,同崔员外秋宵寓直,唐,建礼高秋夜，承明候晓过。九门寒漏彻，万井曙钟多。月迥藏珠斗，云消出绛河。更惭衰朽质，南陌共鸣珂。,Landscape and pastoral,Wang Wei,With Cui Yuanwai Qiuxiao stays straight,"Jianli high autumn night, Chengming Hou Xiaoguo. Nine gates are cold and leaky, and ten thousand wells are full of dawn bells. The moon hides the pearl bucket, and the cloud disappears out of the Jianghe River. Even more ashamed of decay, Nanmo resonates with Ke."
山水田园,王维,戏题示萧氏甥,唐,怜尔解临池，渠爷未学诗。老夫何足似，弊宅倘因之。芦笋穿荷叶，菱花罥雁儿。郗公不易胜，莫著外家欺。,Landscape and pastoral,Wang Wei,The title of the play shows Xiao's nephew,"Lian Er Jie Linchi, Qu Ye did not learn poetry. The old man is so resembling, if the house is bad because of it. Asparagus wears lotus leaves, and water chestnut flowers entangle geese. Xi Gong is not easy to win, so don't bully outsiders."
山水田园,王维,早秋山中作,唐,无才不敢累明时，思向东溪守故篱。岂厌尚平婚嫁早，却嫌陶令去官迟。草间蛩响临秋急，山里蝉声薄暮悲。寂寞柴门人不到，空林独与白云期。,Landscape and pastoral,Wang Wei,Yamanaka,"If you don't dare to be tired if you don't have talent, you will think of Dongxi to guard the old fence. Don't you hate Shangping's early marriage, but Tao Ling's resignation from office too late? The sound of crickets in the grass is urgent in autumn, and the sound of cicadas in the mountains is sad at dusk. Lonely chaimen people do not come, the empty forest is alone and the white cloud period."
山水田园,王维,早朝,唐,柳暗百花明，春深五凤城。城乌睥睨晓，宫井辘轳声。方朔金门侍，班姬玉辇迎。仍闻遣方士，东海访蓬瀛。,Landscape and pastoral,Wang Wei,early morning,"The willows are dark and the flowers are bright, and the spring is deep in Wufeng City. The crows of the city look at the dawn, and the sound of Miyai's potter's wheel. Fang Shuo's attendant at the golden gate is greeted by Ban Ji Yu chariot. I still heard that alchemists were sent to visit Pengying in the East China Sea."
山水田园,王维,杂诗,唐,双燕初命子，五桃新作花。王昌是东舍，宋玉次西家。小小能织绮，时时出浣纱。亲劳使君问，南陌驻香车。,Landscape and pastoral,Wang Wei,miscellaneous poems,"Shuangyan's first son, five peaches are new flowers. Wang Chang is the East House, and Song Yuci is the West House. Xiaoxiao can weave Qi, and produce yarn from time to time. I personally asked the king to ask, and Nanmo stationed in Xiangche."
山水田园,王维,汎前陂,唐,秋空自明迥，况复远人间。畅以沙际鹤，兼之云外山。澄波澹将夕，清月皓方闲。此夜任孤棹，夷犹殊未还。,Landscape and pastoral,Wang Wei,Pan Qianpi,"The autumn sky is bright and far away, and the situation is far away from the world. Chang Yi Sha Ji Crane, and Yunwai Mountain. In the evening of Chengbo Dan, the clear moon is bright and idle. This night, Ren Guchao, Yi still has not yet returned."
